Publish time,Page name,Permalink,Post type,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Matched Audience Targeting Consumption (Photo Click),Other Clicks,REELS_PLAYS:COUNT,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad impressions,Ad CPM (USD)
8/18/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02nfBbDqSB9zRNQmrFBrEpgZoFQdnjSBUQ4j82Z3yeeW1XgF5TqPPJyYcywTAHgSrrl,Photos,4,4,1,0,1,0,0,,,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0ksmBB8bmRGbYjekSmDeMQq4Tn4A9u4WJqY1L46ZhZDFVohYS7JC1cj2kAyTdkFJJl,Photos,4,4,0,0,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0d5rHhFsFzBkAhU2mp8ATZCZoNGSj1yYWVynWgvdNeyayso764XLiFTidGyv2wNovl,Photos,4,4,0,0,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02EGLE1uLPeNRTBBX57XY9GeQkFXz8TVPtmsTDpmMoqSUmhQmVet3hmAUiCykMYa7zl,Photos,4,4,0,0,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0u9QvTFPvpZ1AguGetR6cv1L7HkcvptFfwnFhwtvSCeH5Ymx7LfRhVYgcufaUmHVMl,Photos,4,4,1,1,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid027jUxW5oJy8gig5VXbnEzjWfhiSn6THKRpCUa2ZP25vcdfkPU6cdSESF9Y9eKJpKul,Photos,4,4,0,0,0,0,0,,,,,,,,
8/13/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0Ekcs4rMHMy5trwKeVZr5KH7eeU4TrubzxtrSFaX7nAXhhvTcpaMs2o1Zi2VYizdBl,Photos,4,4,0,0,0,0,0,,,,,,,,
8/13/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0nctcDZqyFSdqM3WWRqwTTS3XrYNHhoAfwa83VQtXv8EbgWokA3jKho5aMR65ppnrl,Photos,4,4,0,0,0,0,0,,,,,,,,
8/13/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid03qRE8YktqXAhVqpgfDA6jdsbeBf7icxYmMvQoj7tCnwHhEPXFuuLGGGMDXhxwpgSl,Photos,4,4,0,0,0,0,1,1,,,,,,,
8/13/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid035hReDn2myEmuYwMnGRKpjy4S23Mu63BADMbiu7JUH9GV6ZgGVGpjMTqWy1b6GwRCl,Photos,4,4,0,0,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid05T7xaSKXNzKmw19bSfr9uLAsaSeBJopTcqEXjQv5CFDWV8Xxyz7QoYkzxb7vuuYEl,Photos,4,4,1,1,0,0,0,,,,,,,,
8/4/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0zcT3JMka38t9hrGpc2a8yaAK3iKX7S5ox9vWpUZrJhXiG8oxaG3BuZEtDVAHu2Ypl,Photos,4,4,0,0,0,0,0,,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0TYvKzPHRVQ27VhvmBxpm8macAnF8VBqektsPRdTGXDmMHSPJzaATC6Q16Kz5bNcGl,Photos,3,3,1,0,1,0,0,,,,,,,,
8/26/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0UiJVkCKGTMHaTh3h1M3gE3o8phz1nEgExRbBnwybopSuzRHJGsAn2i6zPnhfUg9Hl,Photos,3,3,0,0,0,0,0,,,,,,,,
8/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0w6t7kavfZDgwrbzKBTFpbXBx18mzEoNBNqzNvK9vyQqryatnfbvuBYeNPaJUcv2Wl,Photos,3,3,1,0,1,0,0,,,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0E2aCgpn3wfgHK7iasEykGPvs5n7kd7uw4vmNspHNmnW45xZntHgcYXye4ZTyhNPul,Photos,3,3,1,1,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid024KV5UeTuqVYGxVtvExzo4hSuUrcKtQ6NrMDgRCMQAN8LLxWfMgKjgoTFUcyB5tz2l,Photos,3,3,0,0,0,0,0,,,,,,,,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0ZRmJHgAw6PxQPtBvwstQMMNxFYXAvD8wprJqmAsSmLSkQY4EBSFrD2rpiq8X5LfRl,Photos,3,3,0,0,0,0,0,,,,,,,,
8/13/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0Gdq2SHSotize8ZemzfAT3zkKrKJLRuYen8TADNf6BWrpC7tQuvvuf5cLhTCTBKjJl,Photos,3,2,0,0,0,0,0,,,,,,,,
8/13/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0ydDx9PumQmBegGNSoPTdKmJspqzY8Afir5XN9s5XHMLAnGovBrLdMaSJAnhzyFDKl,Photos,3,3,0,0,0,0,0,,,,,,,,
8/9/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02zXeGzDeKkwPZ5tDsSSvmGsv9juNHNU4tJygLVtWP7nYfx2LnjY2YNDHWPVgUrweSl,Links,3,3,0,0,0,0,0,,,,,,,,
8/18/2024,Style Spectrums,https://www.facebook.com/reel/921410856416025/,Reels,2,1,0,0,0,0,0,,,9,24.484,4.896,0,0,
8/14/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid02Dqyhei2ecmpwgxWd8FQGwXTvpSfnrxgwT3CVf59uSkTsDAXBeN3SiyYfjJtWbu4bl,Photos,2,2,0,0,0,0,0,,,,,,,,
7/7/2024,Style Spectrums,https://www.facebook.com/photo.php?fbid=122156851214167470&set=a.122095345358167470&type=3,Photos,2,2,3,3,0,0,0,,,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0Vffvpwy1959K3NAueYWdxcSBkzbtPS73bv12zh96h7nR5croqmstcMnmQuDRnuVul,Photos,1,1,0,0,0,0,0,,,,,,,,
8/17/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0GA69Cok45yoJdmu4QnqH2YucUJHEXnnGgnNtnLGZ3jUFGoFDfEhrRTv8TrU1SCpml,Photos,1,1,0,0,0,0,0,,,,,,,,
9/25/2024,Style Spectrums,https://www.facebook.com/styledroid/posts/pfbid0361LT11opDv4s98cxN9sKQuzuXoZQsY4tPggZ1bCCuVH9CbdeXjHVdkZWbc9vx3eol,Links,0,0,0,0,0,0,0,,,,,,,,
,,,,1304,1199,303,152,125,26,91,,,,,,,,
